Time (s),X position (m),Y position (m),Z position (m),Rocket axis vector X,Rocket axis vector Y,Rocket axis vector Z,Velocity Vx  (m/s),Velocity Vy  (m/s),Velocity Vz  (m/s),angular velocity omegaX (rad/s),angular velocity omegaY (rad/s),angular velocity omegaZ (rad/s),Acceleration Ax (m/s2),Acceleration Ay (m/s2),Acceleration Az (m/s2),Angular Acceleration X (rad/s2),Angular Acceleration Y (rad/s2),Angular Acceleration Z (rad/s2),Angle of attack alpha (rad),alpha at CP (rad),Moment arm (m),Force X (N),Force Y (N),Force Z (N),Torque X (Nm),Torque Y (Nm),Torque Z (Nm),Thrust (N),Mass (kg),C.O.M distance from nose (m),Ixx (kg m2),Iyy (kg m2),Izz (kg m2),Windspeed X (m/s),Windspeed Y (m/s),atmospheric density (kg/m3),atmospheric temperature (K),
0,0,0,0,0.075479,0.043578,0.99619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46022,0,0,0,0,0,0,0,5.115,0.62491,1.0972,1.0972,0.0065925,2.4676,1.9145,0.15149,141.94,
0.00027183,0,0,0,0.075479,0.043578,0.99619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46022,0,0,0,0,0,0,9.7433,5.115,0.62492,1.0972,1.0972,0.0065925,2.4676,1.9145,0.15149,141.94,
0.00054367,0,0,0,0.075479,0.043578,0.99619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46021,0,0,0,0,0,0,19.4867,5.1149,0.62492,1.0972,1.0972,0.0065925,2.4676,1.9145,0.15149,141.94,
0.0008155,0,0,0,0.075479,0.043578,0.99619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46021,0,0,0,0,0,0,29.23,5.1149,0.62493,1.0972,1.0972,0.0065925,2.4676,1.9145,0.15149,141.94,
0.0010873,0,0,0,0.075479,0.043578,0.99619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4602,0,0,0,0,0,0,38.9734,5.1148,0.62493,1.0972,1.0972,0.0065924,2.4676,1.9145,0.15149,141.94,
0.0011505,0,0,0,0.075479,0.043578,0.99619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4602,0,0,0,0,0,0,41.2362,5.1148,0.62493,1.0972,1.0972,0.0065924,2.4676,1.9145,0.15149,141.94,
0.0012136,0,0,0,0.075479,0.043578,0.99619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4602,0,0,0,0,0,0,43.499,5.1148,0.62493,1.0972,1.0972,0.0065924,2.4676,1.9145,0.15149,141.94,
0.0012767,0,0,0,0.075479,0.043578,0.99619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4602,0,0,0,0,0,0,45.7618,5.1148,0.62493,1.0972,1.0972,0.0065924,2.4676,1.9145,0.15149,141.94,
0.0013399,0,0,0,0.075479,0.043578,0.99619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4602,0,0,0,0,0,0,48.0246,5.1148,0.62493,1.0972,1.0972,0.0065924,2.4676,1.9145,0.15149,141.94,
0.0013892,3.889e-10,2.2453e-10,-9.9699e-11,0.075479,0.043578,0.99619,1.9504e-05,1.1261e-05,-3.4368e-06,0,0,0,0,0,0,-0.010771,0.013882,0.00020881,1.4843,1.4843,0.4602,0,0,0,-0.011818,0.015232,0.0002291,49.7917,5.1148,0.62493,1.0972,1.0972,0.0065924,2.4676,1.9145,0.15149,141.94,
